id,user_id,program_id,gender_identity,created_at,updated_at,kaizen_client_type,sex,residing_in_philippines,lifting_experience,group_gender_preference,current_goal,follow_up_level,has_accountability_buddies,temporary_team_name,accountability_buddies,country,province,city,state,go_solo,retain_previous_coach,previous_coach_name
1,138,4,Male,7/3/25 20:19,7/5/25 16:26,returning_s7,Male,0,beginner,same_gender,lean_down,level_2,1,Test,"[""theodore.dizon@gmail.com"",""ecofiloteo@gmail.com"",null]",United States,NULL,NULL,California,NULL,NULL,NULL
2,35,4,Male,2025-07-06 22:16:06,2025-07-06 22:16:06,returning_s7,Male,1,advanced,no_preference,lean_down,level_2,1,Metan,"[""theodore.dizon@gmail.com"",""dianalouiselao09@gmail.com""]",Philippines,Cavite,City of Bacoor,,0,1,Arjhay
3,1093,4,Male,2024-07-01 10:00:00,2024-07-01 10:00:00,first_time,Male,1,beginner,same_gender,lean_down,level_1,1,Team Alpha,"[""user123@email.com"",""buddy456@email.com""]",Philippines,Metro Manila,Quezon City,NULL,0,1,Coach Maria Santos
4,1107,4,Female,2024-06-15 9:30:00,2024-06-15 9:30:00,returning_s7,Female,0,intermediate,no_preference,get_bigger,level_2,0,NULL,NULL,United States,NULL,Los Angeles,California,1,0,NULL
5,1114,4,LGBTQ+,2024-05-20 14:45:00,2024-05-20 14:45:00,returning_other,Male,1,advanced,same_gender,not_sure,level_3,1,Power Squad,"[""user789@email.com"",""buddy321@email.com""]",Canada,NULL,Toronto,Ontario,0,1,Coach Jennifer Wilson
6,1096,4,Female,2024-07-03 8:20:00,2024-07-03 8:20:00,first_time,Female,1,complete_beginner,no_preference,lean_down,level_1,0,NULL,NULL,Philippines,Cebu,Cebu City,NULL,1,0,NULL
7,1097,4,Male,2024-06-10 11:10:00,2024-06-10 11:10:00,returning_s7,Male,0,beginner,same_gender,get_bigger,level_2,1,Fit Fam,"[""user555@email.com"",""buddy666@email.com""]",Australia,NULL,Melbourne,Victoria,0,1,Coach David Thompson
8,1116,4,Male,2024-05-01 10:00:00,2024-05-01 10:00:00,first_time,Male,1,advanced,no_preference,lean_down,level_3,0,NULL,NULL,Philippines,Batangas,Batangas City,NULL,1,0,NULL
9,1104,4,Female,2024-04-15 9:30:00,2024-04-15 9:30:00,returning_other,Female,0,complete_beginner,same_gender,get_bigger,level_1,1,Wellness Warriors,"[""user888@email.com"",""buddy999@email.com""]",United Kingdom,NULL,London,England,0,1,Coach Lim Wei Ming
10,1095,4,LGBTQ+,2024-03-20 14:45:00,2024-03-20 14:45:00,returning_s7,Female,1,intermediate,no_preference,not_sure,level_2,0,NULL,NULL,Japan,NULL,Tokyo,Tokyo,1,0,NULL
11,1133,4,Male,2024-02-03 8:20:00,2024-02-03 8:20:00,first_time,Male,1,beginner,same_gender,lean_down,level_1,1,Dynamic Duo,"[""user222@email.com"",""buddy333@email.com""]",Philippines,Pampanga,Angeles City,NULL,0,1,Coach Carlos Silva
12,1145,4,Female,2024-01-10 11:10:00,2024-01-10 11:10:00,returning_s7,Female,0,advanced,no_preference,get_bigger,level_2,0,NULL,NULL,Singapore,NULL,Singapore,NULL,1,0,NULL
13,1128,4,Male,2024-12-15 16:30:00,2024-12-15 16:30:00,returning_other,Male,1,beginner,same_gender,not_sure,level_1,1,Health Heroes,"[""user444@email.com"",""buddy777@email.com""]",Philippines,Iloilo,Iloilo City,NULL,0,1,Coach Sarah Johnson
14,1139,4,Female,2024-11-20 13:45:00,2024-11-20 13:45:00,first_time,Female,0,intermediate,no_preference,lean_down,level_2,0,NULL,NULL,Germany,NULL,Munich,Bavaria,1,0,NULL
15,1103,4,LGBTQ+,2024-10-05 9:15:00,2024-10-05 9:15:00,returning_s7,Male,1,advanced,same_gender,get_bigger,level_3,1,Strength Seekers,"[""user666@email.com"",""buddy888@email.com""]",Philippines,Negros Occidental,Bacolod City,NULL,0,1,Coach Michael Chen
16,1166,4,Male,2024-09-12 11:20:00,2024-09-12 11:20:00,returning_other,Male,0,complete_beginner,no_preference,not_sure,level_1,0,NULL,NULL,France,NULL,Paris,Île-de-France,1,0,NULL
17,1123,4,Female,2024-08-25 14:30:00,2024-08-25 14:30:00,first_time,Female,1,beginner,same_gender,lean_down,level_2,1,Endurance Elite,"[""user999@email.com"",""buddy111@email.com""]",Philippines,Zamboanga del Sur,Zamboanga City,NULL,0,1,Coach Lisa Rodriguez
18,1160,4,Male,2024-07-30 8:45:00,2024-07-30 8:45:00,returning_s7,Male,0,intermediate,no_preference,get_bigger,level_3,0,NULL,NULL,Italy,NULL,Milan,Lombardy,1,0,NULL
19,1184,4,LGBTQ+,2024-06-18 12:10:00,2024-06-18 12:10:00,returning_other,Female,1,advanced,same_gender,not_sure,level_1,1,Flexibility First,"[""user333@email.com"",""buddy555@email.com""]",Philippines,Bohol,Tagbilaran City,NULL,0,1,Coach Robert Kim
